Year,Region,Country,City,Start_Date,End_Date,Stay_Days,Avg_Rent,Max_Rent,Min_Rent,Days_To_Rent,Area_sqm,Daily_Rent,Rental_Income,Avg_Stay_Days,Max_Stay_Days,Min_Stay_Days
2022,US,USA,Paris,2022-05-10,2022-06-25,46,1274,2233,1144,25,127,42.47,58604,30.379266666666666,60,1
2026,China,China,Paris,2026-02-17,2026-03-03,14,845,1583,533,13,107,28.17,11830,30.379266666666666,60,1
2025,China,China,Tokyo,2025-06-27,2025-07-12,15,1406,1955,1167,12,33,46.87,21090,30.379266666666666,60,1
2022,US,USA,New York,2022-06-29,2022-08-16,48,1955,2992,1659,25,106,65.17,93840,30.379266666666666,60,1
2024,US,USA,Beijing,2024-06-01,2024-06-30,29,1743,2602,1550,17,108,58.1,50547,30.379266666666666,60,1
2021,Europe,France,Munich,2021-07-18,2021-08-25,38,1979,3095,1852,17,73,65.97,75202,30.379266666666666,60,1
2026,Asia,Japan,Paris,2026-11-01,2026-11-10,9,1339,1918,1027,28,136,44.63,12051,30.379266666666666,60,1
2021,South America,Brazil,Beijing,2021-02-23,2021-03-06,11,1811,2867,1709,10,99,60.37,19921,30.379266666666666,60,1
2022,Asia,India,New York,2022-03-14,2022-04-26,43,1874,2790,1694,28,105,62.47,80582,30.379266666666666,60,1
2022,Asia,India,Munich,2022-05-01,2022-05-02,1,1535,2189,1136,23,140,51.17,1535,30.379266666666666,60,1
2021,China,China,Berlin,2021-01-31,2021-03-05,33,1227,2057,1110,24,21,40.9,40491,30.379266666666666,60,1
2021,US,USA,Delhi,2021-07-11,2021-09-07,58,1523,1895,1291,21,54,50.77,88334,30.379266666666666,60,1
2026,US,USA,Delhi,2026-08-11,2026-09-20,40,1073,2053,864,30,58,35.77,42920,30.379266666666666,60,1
2024,South America,Argentina,Berlin,2024-08-29,2024-09-16,18,1613,2207,1287,24,52,53.77,29034,30.379266666666666,60,1
2025,China,China,Beijing,2025-04-09,2025-06-06,58,1074,1689,787,16,53,35.8,62292,30.379266666666666,60,1
2022,Asia,India,Berlin,2022-03-30,2022-05-13,44,1370,2160,1225,1,41,45.67,60280,30.379266666666666,60,1
2020,China,China,Delhi,2020-06-27,2020-08-01,35,884,1229,755,12,65,29.47,30940,30.379266666666666,60,1
2024,Europe,Germany,New York,2024-10-01,2024-10-31,30,861,1524,644,9,38,28.7,25830,30.379266666666666,60,1
2024,US,USA,Delhi,2024-02-18,2024-04-02,44,860,1890,668,28,20,28.67,37840,30.379266666666666,60,1
2020,Asia,India,Sao Paulo,2020-12-22,2021-02-11,51,884,1687,733,20,65,29.47,45084,30.379266666666666,60,1
2026,Europe,France,Paris,2026-06-12,2026-06-28,16,1692,2373,1378,8,88,56.4,27072,30.379266666666666,60,1
2023,China,China,Munich,2023-08-01,2023-09-14,44,865,2004,590,27,75,28.83,38060,30.379266666666666,60,1
2024,China,China,Beijing,2024-08-13,2024-09-29,47,1017,2212,894,19,102,33.9,47799,30.379266666666666,60,1
2026,Europe,Italy,New York,2026-04-09,2026-04-30,21,996,1377,707,4,78,33.2,20916,30.379266666666666,60,1
2022,US,USA,New York,2022-07-02,2022-07-29,27,1587,2159,1207,9,84,52.9,42849,30.379266666666666,60,1
2026,South America,Brazil,Tokyo,2026-10-26,2026-11-20,25,1176,1760,926,19,118,39.2,29400,30.379266666666666,60,1
2025,Asia,Japan,Tokyo,2025-08-09,2025-09-10,32,1083,2171,911,7,118,36.1,34656,30.379266666666666,60,1
2020,US,USA,Berlin,2020-11-12,2020-11-16,4,1474,1920,1305,24,90,49.13,5896,30.379266666666666,60,1
2020,Europe,France,Tokyo,2020-09-04,2020-10-19,45,1134,1544,969,25,36,37.8,51030,30.379266666666666,60,1
2024,US,USA,Berlin,2024-06-09,2024-06-15,6,1624,1926,1383,1,140,54.13,9744,30.379266666666666,60,1
2023,Europe,Germany,Paris,2023-01-28,2023-03-10,41,1598,1953,1217,25,99,53.27,65518,30.379266666666666,60,1
2021,China,China,Berlin,2021-05-27,2021-07-19,53,1807,2515,1452,18,108,60.23,95771,30.379266666666666,60,1
2025,China,China,Berlin,2025-01-04,2025-01-28,24,1235,1554,1088,2,141,41.17,29640,30.379266666666666,60,1
2020,US,USA,Berlin,2020-07-25,2020-08-03,9,1752,2668,1602,7,40,58.4,15768,30.379266666666666,60,1
2022,China,China,Sao Paulo,2022-10-26,2022-11-30,35,1090,1770,767,19,128,36.33,38150,30.379266666666666,60,1
2022,South America,Argentina,Rome,2022-05-16,2022-06-04,19,1404,2183,1272,29,54,46.8,26676,30.379266666666666,60,1
2026,Europe,Germany,Sao Paulo,2026-04-27,2026-06-11,45,1448,2045,1198,4,91,48.27,65160,30.379266666666666,60,1
2024,China,China,Berlin,2024-09-27,2024-11-06,40,1507,1926,1363,7,47,50.23,60280,30.379266666666666,60,1
2020,Europe,France,Munich,2020-06-16,2020-07-14,28,1110,2279,937,6,126,37.0,31080,30.379266666666666,60,1
2022,China,China,Rome,2022-02-21,2022-04-09,47,1519,2111,1261,29,103,50.63,71393,30.379266666666666,60,1
2021,Europe,Germany,Beijing,2021-08-14,2021-08-18,4,1371,1934,1024,25,21,45.7,5484,30.379266666666666,60,1
2024,Europe,Germany,Tokyo,2024-06-08,2024-06-17,9,844,2024,602,26,56,28.13,7596,30.379266666666666,60,1
2022,Europe,Germany,Tokyo,2022-07-11,2022-07-30,19,943,1953,735,24,119,31.43,17917,30.379266666666666,60,1
2025,Asia,India,Berlin,2025-06-01,2025-07-29,58,1224,1777,972,3,62,40.8,70992,30.379266666666666,60,1
2021,Asia,Japan,Munich,2021-07-17,2021-09-12,57,910,1447,605,6,97,30.33,51870,30.379266666666666,60,1
2022,Europe,France,Sao Paulo,2022-12-25,2023-02-09,46,1872,2185,1674,2,104,62.4,86112,30.379266666666666,60,1
2020,Europe,Italy,Rome,2020-11-10,2020-11-16,6,1745,2492,1429,8,126,58.17,10470,30.379266666666666,60,1
2026,US,USA,Rome,2026-03-18,2026-03-22,4,1454,1825,1074,3,75,48.47,5816,30.379266666666666,60,1
2020,China,China,Rome,2020-08-05,2020-08-27,22,1943,3053,1821,23,113,64.77,42746,30.379266666666666,60,1
2024,Asia,India,Paris,2024-01-12,2024-02-09,28,1545,2568,1213,21,114,51.5,43260,30.379266666666666,60,1
2026,US,USA,Tokyo,2026-08-09,2026-10-07,59,1270,2115,1016,14,139,42.33,74930,30.379266666666666,60,1
2026,China,China,Rome,2026-10-09,2026-12-01,53,1692,2583,1307,18,51,56.4,89676,30.379266666666666,60,1
2022,US,USA,Berlin,2022-07-19,2022-08-19,31,1223,1918,1090,13,97,40.77,37913,30.379266666666666,60,1
2020,South America,Brazil,Tokyo,2020-03-30,2020-05-02,33,1341,1647,1061,7,111,44.7,44253,30.379266666666666,60,1
2022,Europe,Italy,Berlin,2022-09-02,2022-10-08,36,1786,2461,1437,24,73,59.53,64296,30.379266666666666,60,1
2022,Europe,France,Rome,2022-03-22,2022-04-30,39,1674,2807,1384,7,93,55.8,65286,30.379266666666666,60,1
2020,Asia,India,Sao Paulo,2020-02-04,2020-03-19,44,806,1956,539,3,34,26.87,35464,30.379266666666666,60,1
2020,China,China,Tokyo,2020-04-21,2020-05-16,25,1575,2236,1357,28,23,52.5,39375,30.379266666666666,60,1
2025,China,China,Delhi,2025-05-07,2025-05-22,15,1771,2562,1494,2,133,59.03,26565,30.379266666666666,60,1
2022,Asia,India,Tokyo,2022-10-30,2022-11-25,26,1354,2315,1168,28,59,45.13,35204,30.379266666666666,60,1
2024,Asia,India,Tokyo,2024-08-28,2024-09-24,27,1848,2713,1675,30,41,61.6,49896,30.379266666666666,60,1
2021,South America,Argentina,Berlin,2021-03-08,2021-04-04,27,1910,2585,1549,21,76,63.67,51570,30.379266666666666,60,1
2020,South America,Argentina,Tokyo,2020-06-21,2020-08-08,48,1608,2199,1390,13,96,53.6,77184,30.379266666666666,60,1
2025,China,China,Delhi,2025-06-25,2025-07-06,11,1947,2920,1723,18,72,64.9,21417,30.379266666666666,60,1
2021,China,China,Delhi,2021-12-05,2022-01-10,36,937,1241,717,7,70,31.23,33732,30.379266666666666,60,1
2020,Asia,India,Paris,2020-10-31,2020-11-14,14,1312,1995,915,25,65,43.73,18368,30.379266666666666,60,1
2025,US,USA,Rome,2025-07-08,2025-07-30,22,837,1199,516,28,98,27.9,18414,30.379266666666666,60,1
2022,Asia,Japan,New York,2022-08-22,2022-09-13,22,1819,2901,1450,11,85,60.63,40018,30.379266666666666,60,1
2020,China,China,Rome,2020-11-17,2020-12-24,37,1295,1926,1001,28,125,43.17,47915,30.379266666666666,60,1
2023,US,USA,Rome,2023-11-23,2023-12-25,32,1718,2552,1430,26,136,57.27,54976,30.379266666666666,60,1
2026,Europe,Italy,Berlin,2026-09-06,2026-09-10,4,809,1954,546,26,30,26.97,3236,30.379266666666666,60,1
2021,US,USA,Paris,2021-04-30,2021-06-24,55,1449,2284,1147,23,87,48.3,79695,30.379266666666666,60,1
2021,South America,Brazil,New York,2021-06-15,2021-06-29,14,1997,2825,1613,13,70,66.57,27958,30.379266666666666,60,1
2020,Europe,Italy,Berlin,2020-03-20,2020-03-28,8,1755,2925,1411,30,141,58.5,14040,30.379266666666666,60,1
2025,China,China,Beijing,2025-03-15,2025-05-02,48,1087,2036,929,30,47,36.23,52176,30.379266666666666,60,1
2025,Asia,India,Beijing,2025-08-26,2025-10-08,43,990,1709,608,11,28,33.0,42570,30.379266666666666,60,1
2026,China,China,Paris,2026-09-28,2026-11-10,43,1495,2033,1168,17,97,49.83,64285,30.379266666666666,60,1
2021,Europe,France,Rome,2021-02-10,2021-03-09,27,1072,1469,875,30,53,35.73,28944,30.379266666666666,60,1
2020,China,China,Delhi,2020-04-19,2020-05-03,14,1246,1721,951,21,112,41.53,17444,30.379266666666666,60,1
2021,US,USA,Paris,2021-07-11,2021-07-26,15,998,2191,779,10,117,33.27,14970,30.379266666666666,60,1
2025,Asia,India,Tokyo,2025-09-27,2025-11-07,41,1191,2358,852,22,122,39.7,48831,30.379266666666666,60,1
2020,Asia,India,Sao Paulo,2020-04-14,2020-05-15,31,1257,2433,1123,7,120,41.9,38967,30.379266666666666,60,1
2024,US,USA,New York,2024-03-17,2024-03-29,12,1846,2693,1473,9,59,61.53,22152,30.379266666666666,60,1
2023,South America,Brazil,Munich,2023-12-07,2023-12-28,21,1283,1693,1132,27,75,42.77,26943,30.379266666666666,60,1
2020,Asia,Japan,New York,2020-12-12,2020-12-17,5,1479,2496,1130,14,105,49.3,7395,30.379266666666666,60,1
2020,China,China,Delhi,2020-01-19,2020-01-26,7,1085,2096,800,7,41,36.17,7595,30.379266666666666,60,1
2020,Asia,India,Delhi,2020-07-14,2020-09-09,57,1180,2220,1075,26,71,39.33,67260,30.379266666666666,60,1
2022,Asia,Japan,Paris,2022-06-14,2022-07-06,22,1806,2203,1642,24,75,60.2,39732,30.379266666666666,60,1
2024,Europe,Germany,Paris,2024-11-19,2025-01-08,50,1673,2721,1410,11,32,55.77,83650,30.379266666666666,60,1
2021,Europe,France,Beijing,2021-03-30,2021-05-06,37,1532,2202,1422,22,101,51.07,56684,30.379266666666666,60,1
2024,US,USA,Sao Paulo,2024-05-18,2024-07-01,44,1554,2534,1200,19,46,51.8,68376,30.379266666666666,60,1
2026,China,China,Tokyo,2026-10-05,2026-10-18,13,1847,2524,1713,21,30,61.57,24011,30.379266666666666,60,1
2024,China,China,Beijing,2024-07-09,2024-08-30,52,1854,2602,1641,6,104,61.8,96408,30.379266666666666,60,1
2023,China,China,Tokyo,2023-06-15,2023-06-25,10,1591,2282,1467,23,136,53.03,15910,30.379266666666666,60,1
2025,China,China,Rome,2025-03-03,2025-04-09,37,1819,2502,1434,9,112,60.63,67303,30.379266666666666,60,1
2025,US,USA,Sao Paulo,2025-11-02,2025-12-21,49,1234,1725,953,13,131,41.13,60466,30.379266666666666,60,1
2020,South America,Argentina,Berlin,2020-09-01,2020-09-02,1,1042,1897,751,26,102,34.73,1042,30.379266666666666,60,1
2024,Europe,Germany,Sao Paulo,2024-01-31,2024-03-15,44,1653,2324,1532,2,37,55.1,72732,30.379266666666666,60,1
2020,Asia,India,Sao Paulo,2020-02-25,2020-02-29,4,1832,2691,1685,7,120,61.07,7328,30.379266666666666,60,1
2021,South America,Argentina,New York,2021-02-16,2021-03-02,14,1842,2416,1695,5,70,61.4,25788,30.379266666666666,60,1
2023,South America,Argentina,Delhi,2023-06-12,2023-07-10,28,1932,2747,1620,25,136,64.4,54096,30.379266666666666,60,1
2026,China,China,Beijing,2026-07-24,2026-08-27,34,953,2147,710,22,30,31.77,32402,30.379266666666666,60,1
2024,Asia,India,Tokyo,2024-11-08,2024-12-08,30,1216,1965,1008,2,55,40.53,36480,30.379266666666666,60,1
2021,Europe,France,Berlin,2021-06-04,2021-07-21,47,1017,2058,628,12,36,33.9,47799,30.379266666666666,60,1
2025,Asia,Japan,Delhi,2025-11-29,2025-12-23,24,1139,1969,751,6,95,37.97,27336,30.379266666666666,60,1
2024,US,USA,New York,2024-01-06,2024-02-10,35,1649,2832,1423,3,142,54.97,57715,30.379266666666666,60,1
2025,Asia,Japan,Delhi,2025-10-09,2025-11-12,34,1799,2872,1608,22,72,59.97,61166,30.379266666666666,60,1
2023,South America,Brazil,Rome,2023-09-09,2023-10-17,38,1806,2460,1674,27,124,60.2,68628,30.379266666666666,60,1
2022,Europe,France,Beijing,2022-01-13,2022-02-15,33,1603,2019,1433,7,81,53.43,52899,30.379266666666666,60,1
2021,Europe,Germany,Paris,2021-07-24,2021-09-06,44,829,1902,448,7,46,27.63,36476,30.379266666666666,60,1
2023,Europe,Italy,Sao Paulo,2023-11-25,2024-01-06,42,1173,1492,828,21,106,39.1,49266,30.379266666666666,60,1
2025,US,USA,Paris,2025-12-17,2026-01-22,36,1870,2659,1705,15,31,62.33,67320,30.379266666666666,60,1
2026,South America,Argentina,New York,2026-05-31,2026-06-25,25,1071,1927,841,17,66,35.7,26775,30.379266666666666,60,1
2024,Asia,Japan,Rome,2024-01-25,2024-03-24,59,827,1164,649,6,104,27.57,48793,30.379266666666666,60,1
2021,US,USA,Rome,2021-01-11,2021-01-31,20,1385,1715,1055,23,134,46.17,27700,30.379266666666666,60,1
2025,South America,Brazil,Tokyo,2025-05-17,2025-05-22,5,1571,2390,1191,27,74,52.37,7855,30.379266666666666,60,1
2024,China,China,Berlin,2024-01-08,2024-02-20,43,1281,1666,1108,1,50,42.7,55083,30.379266666666666,60,1
2024,China,China,Paris,2024-06-11,2024-07-23,42,1098,2176,913,6,143,36.6,46116,30.379266666666666,60,1
2022,Asia,India,Rome,2022-09-01,2022-10-07,36,1387,1810,998,16,140,46.23,49932,30.379266666666666,60,1
2026,South America,Brazil,Rome,2026-03-18,2026-05-15,58,1200,1906,1050,11,46,40.0,69600,30.379266666666666,60,1
2024,US,USA,Rome,2024-11-12,2024-11-30,18,1544,2003,1204,26,24,51.47,27792,30.379266666666666,60,1
2022,US,USA,Munich,2022-10-05,2022-10-28,23,1025,1869,725,29,73,34.17,23575,30.379266666666666,60,1
2026,Europe,Italy,Rome,2026-10-15,2026-10-22,7,1676,2436,1487,10,133,55.87,11732,30.379266666666666,60,1
2022,China,China,Beijing,2022-08-13,2022-09-11,29,1228,2421,1119,11,35,40.93,35612,30.379266666666666,60,1
2023,Europe,France,Delhi,2023-06-11,2023-07-17,36,1549,2629,1240,17,30,51.63,55764,30.379266666666666,60,1
2024,China,China,Paris,2024-07-31,2024-08-08,8,1824,2533,1448,13,147,60.8,14592,30.379266666666666,60,1
2023,China,China,Rome,2023-02-19,2023-03-15,24,932,1965,608,5,46,31.07,22368,30.379266666666666,60,1
2024,South America,Brazil,Tokyo,2024-07-24,2024-09-07,45,1624,2353,1273,1,83,54.13,73080,30.379266666666666,60,1
2021,China,China,Rome,2021-08-05,2021-09-14,40,873,2041,519,23,30,29.1,34920,30.379266666666666,60,1
2021,Europe,France,Munich,2021-08-14,2021-10-11,58,1394,2545,1004,5,48,46.47,80852,30.379266666666666,60,1
2021,South America,Brazil,Beijing,2021-04-08,2021-05-04,26,1709,2767,1527,27,130,56.97,44434,30.379266666666666,60,1
2025,China,China,Beijing,2025-10-27,2025-11-20,24,1610,2373,1427,4,108,53.67,38640,30.379266666666666,60,1
2025,Europe,Italy,New York,2025-10-14,2025-11-12,29,1785,2344,1456,14,80,59.5,51765,30.379266666666666,60,1
2020,Europe,France,New York,2020-02-13,2020-04-12,59,1216,1545,1002,1,86,40.53,71744,30.379266666666666,60,1
2024,Europe,Germany,New York,2024-03-30,2024-04-04,5,984,2178,800,27,148,32.8,4920,30.379266666666666,60,1
2023,Europe,Italy,Berlin,2023-06-18,2023-06-29,11,1204,2056,896,17,29,40.13,13244,30.379266666666666,60,1
2023,South America,Brazil,Delhi,2023-11-18,2023-12-09,21,933,1617,827,26,107,31.1,19593,30.379266666666666,60,1
2024,South America,Argentina,Berlin,2024-10-03,2024-10-12,9,1613,2220,1285,16,80,53.77,14517,30.379266666666666,60,1
2024,China,China,New York,2024-07-02,2024-07-11,9,1845,2862,1532,28,95,61.5,16605,30.379266666666666,60,1
2024,Asia,Japan,New York,2024-11-22,2025-01-11,50,1274,2259,912,26,114,42.47,63700,30.379266666666666,60,1
2026,Asia,India,Sao Paulo,2026-10-17,2026-11-27,41,1164,1830,854,26,135,38.8,47724,30.379266666666666,60,1
2023,Europe,Germany,Beijing,2023-05-26,2023-06-07,12,1203,2237,1081,21,61,40.1,14436,30.379266666666666,60,1
2026,US,USA,Delhi,2026-09-14,2026-10-21,37,1612,2383,1235,25,28,53.73,59644,30.379266666666666,60,1
2021,China,China,Munich,2021-08-03,2021-10-01,59,918,1275,615,6,44,30.6,54162,30.379266666666666,60,1
2026,China,China,Beijing,2026-10-11,2026-11-18,38,1131,1956,768,22,125,37.7,42978,30.379266666666666,60,1
2020,South America,Argentina,Berlin,2020-10-08,2020-10-11,3,1802,2446,1441,27,96,60.07,5406,30.379266666666666,60,1
2020,China,China,Beijing,2020-06-16,2020-07-28,42,1792,2581,1403,28,147,59.73,75264,30.379266666666666,60,1
2020,US,USA,Munich,2020-12-15,2021-01-31,47,941,1423,552,15,36,31.37,44227,30.379266666666666,60,1
2020,South America,Brazil,New York,2020-09-15,2020-09-18,3,916,1980,785,29,117,30.53,2748,30.379266666666666,60,1
2022,Asia,Japan,Berlin,2022-10-18,2022-12-07,50,1268,2044,876,7,49,42.27,63400,30.379266666666666,60,1
2025,South America,Brazil,Berlin,2025-11-07,2025-11-12,5,1732,2712,1470,25,79,57.73,8660,30.379266666666666,60,1
2023,US,USA,Paris,2023-11-29,2024-01-09,41,1251,1804,908,26,99,41.7,51291,30.379266666666666,60,1
2022,US,USA,Berlin,2022-04-21,2022-05-15,24,1193,1830,895,4,115,39.77,28632,30.379266666666666,60,1
2026,Europe,France,Munich,2026-04-01,2026-05-02,31,1040,2035,820,12,107,34.67,32240,30.379266666666666,60,1
2021,Europe,Italy,Beijing,2021-06-10,2021-07-11,31,1158,1549,852,30,97,38.6,35898,30.379266666666666,60,1
2026,US,USA,Sao Paulo,2026-07-31,2026-09-10,41,1502,1907,1269,18,59,50.07,61582,30.379266666666666,60,1
2026,US,USA,Paris,2026-10-16,2026-12-02,47,1751,2673,1603,4,113,58.37,82297,30.379266666666666,60,1
2021,US,USA,Delhi,2021-06-24,2021-08-21,58,913,1819,555,7,52,30.43,52954,30.379266666666666,60,1
2023,Asia,Japan,New York,2023-05-22,2023-06-23,32,1584,1998,1291,20,95,52.8,50688,30.379266666666666,60,1
2024,US,USA,Berlin,2024-07-13,2024-07-18,5,1939,3030,1577,19,83,64.63,9695,30.379266666666666,60,1
2023,Asia,India,Munich,2023-09-01,2023-09-12,11,1556,2634,1187,18,122,51.87,17116,30.379266666666666,60,1
2022,Europe,Italy,Munich,2022-04-10,2022-05-08,28,1733,2889,1341,1,139,57.77,48524,30.379266666666666,60,1
2022,US,USA,New York,2022-11-28,2022-12-05,7,1280,2127,1079,14,114,42.67,8960,30.379266666666666,60,1
2020,Asia,Japan,New York,2020-08-05,2020-09-09,35,909,1459,591,29,72,30.3,31815,30.379266666666666,60,1
2021,Asia,India,Munich,2021-12-04,2022-01-29,56,1108,2131,971,3,64,36.93,62048,30.379266666666666,60,1
2024,US,USA,Sao Paulo,2024-02-02,2024-03-08,35,1228,1570,1031,2,49,40.93,42980,30.379266666666666,60,1
2026,Europe,France,Munich,2026-02-24,2026-04-23,58,1282,1756,1144,13,36,42.73,74356,30.379266666666666,60,1
2026,China,China,Beijing,2026-02-26,2026-03-29,31,1347,1651,1194,12,96,44.9,41757,30.379266666666666,60,1
2025,South America,Brazil,Sao Paulo,2025-05-10,2025-07-02,53,825,1404,633,9,101,27.5,43725,30.379266666666666,60,1
2021,China,China,Sao Paulo,2021-01-18,2021-02-24,37,902,2000,716,8,86,30.07,33374,30.379266666666666,60,1
2026,Europe,France,Sao Paulo,2026-11-02,2026-11-07,5,974,1669,582,28,89,32.47,4870,30.379266666666666,60,1
2025,South America,Brazil,New York,2025-09-03,2025-09-25,22,1610,2549,1441,8,104,53.67,35420,30.379266666666666,60,1
2021,US,USA,Munich,2021-08-30,2021-10-02,33,824,1936,450,6,107,27.47,27192,30.379266666666666,60,1
2021,Asia,Japan,New York,2021-12-26,2022-01-20,25,923,1855,594,25,137,30.77,23075,30.379266666666666,60,1
2020,US,USA,Beijing,2020-06-05,2020-06-07,2,1295,1925,1127,14,92,43.17,2590,30.379266666666666,60,1
2023,US,USA,Berlin,2023-02-20,2023-03-24,32,1826,2251,1453,23,24,60.87,58432,30.379266666666666,60,1
2021,South America,Argentina,Beijing,2021-04-29,2021-05-14,15,1277,2188,1107,1,94,42.57,19155,30.379266666666666,60,1
2023,Europe,Italy,Paris,2023-12-24,2023-12-26,2,1887,2723,1732,12,149,62.9,3774,30.379266666666666,60,1
2021,Europe,Italy,Delhi,2021-03-06,2021-04-07,32,1287,2227,1171,29,55,42.9,41184,30.379266666666666,60,1
2026,Europe,France,Beijing,2026-10-09,2026-10-12,3,1962,2563,1749,10,85,65.4,5886,30.379266666666666,60,1
2023,Asia,Japan,Munich,2023-05-02,2023-05-20,18,1428,1911,1171,14,133,47.6,25704,30.379266666666666,60,1
2022,China,China,Rome,2022-11-12,2022-11-26,14,1367,1781,1170,10,80,45.57,19138,30.379266666666666,60,1
2022,South America,Argentina,Tokyo,2022-06-17,2022-06-25,8,1870,2756,1634,4,46,62.33,14960,30.379266666666666,60,1
2020,China,China,Berlin,2020-01-02,2020-02-14,43,1461,2120,1088,7,91,48.7,62823,30.379266666666666,60,1
2020,China,China,Delhi,2020-02-23,2020-02-28,5,1461,2356,1136,16,70,48.7,7305,30.379266666666666,60,1
2026,US,USA,Berlin,2026-07-15,2026-08-27,43,1988,2977,1864,26,139,66.27,85484,30.379266666666666,60,1
2024,Europe,France,Munich,2024-08-26,2024-08-27,1,1906,2523,1786,4,50,63.53,1906,30.379266666666666,60,1
2025,Asia,India,Munich,2025-08-14,2025-09-04,21,1259,2300,1152,22,133,41.97,26439,30.379266666666666,60,1
2022,US,USA,New York,2022-02-27,2022-04-09,41,1495,2661,1260,9,49,49.83,61295,30.379266666666666,60,1
2022,Europe,France,New York,2022-03-22,2022-04-01,10,1086,1631,704,18,67,36.2,10860,30.379266666666666,60,1
2024,Asia,Japan,New York,2024-04-30,2024-06-18,49,1330,2252,964,21,48,44.33,65170,30.379266666666666,60,1
2023,South America,Argentina,Tokyo,2023-04-28,2023-05-12,14,1891,2923,1538,3,105,63.03,26474,30.379266666666666,60,1
2024,Europe,Italy,Rome,2024-05-04,2024-06-17,44,1815,2389,1664,9,28,60.5,79860,30.379266666666666,60,1
2026,Asia,India,Tokyo,2026-04-25,2026-05-22,27,1457,2142,1239,13,133,48.57,39339,30.379266666666666,60,1
2025,Asia,India,Sao Paulo,2025-03-31,2025-05-17,47,1993,2690,1788,27,100,66.43,93671,30.379266666666666,60,1
2022,Europe,Germany,Berlin,2022-12-25,2023-02-23,60,918,1465,532,21,139,30.6,55080,30.379266666666666,60,1
2025,Asia,India,Delhi,2025-08-26,2025-10-06,41,1170,1876,937,26,129,39.0,47970,30.379266666666666,60,1
2025,China,China,Munich,2025-07-26,2025-09-19,55,1318,2391,1012,23,114,43.93,72490,30.379266666666666,60,1
2023,Asia,Japan,Munich,2023-01-03,2023-01-14,11,1491,2171,1257,4,133,49.7,16401,30.379266666666666,60,1
2025,Asia,India,Delhi,2025-04-30,2025-05-25,25,1455,1882,1144,21,118,48.5,36375,30.379266666666666,60,1
2024,US,USA,Delhi,2024-01-24,2024-02-07,14,802,1950,608,13,80,26.73,11228,30.379266666666666,60,1
2026,China,China,Paris,2026-01-21,2026-01-24,3,1579,2144,1353,30,26,52.63,4737,30.379266666666666,60,1
2021,South America,Brazil,Paris,2021-08-27,2021-10-18,52,1712,2060,1366,13,130,57.07,89024,30.379266666666666,60,1
2023,China,China,Berlin,2023-09-19,2023-09-25,6,1925,2885,1807,26,111,64.17,11550,30.379266666666666,60,1
2024,US,USA,Rome,2024-01-05,2024-01-14,9,1688,1988,1464,7,143,56.27,15192,30.379266666666666,60,1
2022,South America,Brazil,New York,2022-01-04,2022-02-08,35,1967,2724,1718,18,148,65.57,68845,30.379266666666666,60,1
2026,Europe,Germany,Beijing,2026-04-28,2026-05-15,17,1973,2603,1594,20,70,65.77,33541,30.379266666666666,60,1
2022,South America,Argentina,New York,2022-03-22,2022-04-10,19,1737,2805,1454,11,102,57.9,33003,30.379266666666666,60,1
2023,US,USA,Beijing,2023-10-24,2023-11-06,13,1262,1738,1141,30,29,42.07,16406,30.379266666666666,60,1
2020,Asia,Japan,Tokyo,2020-04-19,2020-05-26,37,1559,1860,1435,29,61,51.97,57683,30.379266666666666,60,1
2020,South America,Brazil,Sao Paulo,2020-01-26,2020-02-19,24,852,1687,525,14,52,28.4,20448,30.379266666666666,60,1
2025,South America,Brazil,Berlin,2025-07-30,2025-09-13,45,1331,2153,1153,24,143,44.37,59895,30.379266666666666,60,1
2020,China,China,Rome,2020-03-24,2020-05-09,46,1329,2488,951,4,89,44.3,61134,30.379266666666666,60,1
2024,China,China,Tokyo,2024-01-27,2024-03-07,40,823,1973,444,2,66,27.43,32920,30.379266666666666,60,1
2021,Europe,Italy,Delhi,2021-02-27,2021-04-05,37,1982,2626,1711,10,43,66.07,73334,30.379266666666666,60,1
2025,South America,Brazil,Paris,2025-05-18,2025-06-10,23,903,2056,515,12,72,30.1,20769,30.379266666666666,60,1
2022,China,China,Sao Paulo,2022-10-12,2022-10-14,2,1483,2016,1369,30,67,49.43,2966,30.379266666666666,60,1
2023,China,China,Delhi,2023-08-28,2023-10-25,58,806,1394,471,9,79,26.87,46748,30.379266666666666,60,1
2026,Europe,France,Munich,2026-04-17,2026-04-19,2,1010,1768,831,4,73,33.67,2020,30.379266666666666,60,1
2022,China,China,Tokyo,2022-07-22,2022-08-15,24,1109,2009,954,24,150,36.97,26616,30.379266666666666,60,1
2020,Europe,Germany,Paris,2020-04-19,2020-05-08,19,942,1638,793,13,130,31.4,17898,30.379266666666666,60,1
2023,US,USA,Rome,2023-06-02,2023-07-31,59,1731,2065,1609,23,139,57.7,102129,30.379266666666666,60,1
2025,US,USA,Tokyo,2025-07-26,2025-09-01,37,1690,2571,1575,9,138,56.33,62530,30.379266666666666,60,1
2023,Asia,India,Sao Paulo,2023-11-09,2023-12-13,34,929,1802,695,1,58,30.97,31586,30.379266666666666,60,1
2020,Asia,Japan,Paris,2020-04-21,2020-06-20,60,1496,2454,1105,23,97,49.87,89760,30.379266666666666,60,1
2025,China,China,Paris,2025-03-06,2025-04-21,46,1442,2316,1334,6,111,48.07,66332,30.379266666666666,60,1
